"","date","pollster","right"
"85",2025-06-22,"YouGov",0.44
"86",2025-06-20,"More in Common",0.47
"87",2025-06-18,"Find Out Now",0.47
"88",2025-06-15,"YouGov",0.44
"89",2025-06-13,"More in Common",0.51
"90",2025-06-13,"More in Common",0.49
"91",2025-06-11,"Opinium",0.48
"92",2025-06-11,"Find Out Now",0.46
"93",2025-06-10,"Find Out Now",0.5
"94",2025-06-10,"Survation",0.48
"95",2025-06-08,"YouGov",0.46
"96",2025-06-06,"Freshwater",0.53
"97",2025-06-06,"More in Common",0.48
"98",2025-06-04,"Techne",0.48
"99",2025-06-04,"Find Out Now",0.47
"100",2025-06-01,"YouGov",0.46
"101",2025-05-30,"Ipsos",0.49
"102",2025-05-29,"Lord Ashcroft",0.46
"103",2025-05-29,"YouGov",0.44
"104",2025-05-28,"BMG",0.49
"105",2025-05-28,"Find Out Now",0.48
"106",2025-05-28,"Opinium",0.48
"107",2025-05-28,"Techne",0.47
"108",2025-05-26,"YouGov",0.48
"109",2025-05-23,"More in Common",0.5
"110",2025-05-21,"Find Out Now",0.48
"111",2025-05-21,"Techne",0.47
"112",2025-05-18,"YouGov",0.45
"113",2025-05-16,"More in Common",0.51
"114",2025-05-14,"Find Out Now",0.49
"115",2025-05-14,"Techne",0.47
"116",2025-05-14,"Opinium",0.47
"117",2025-05-11,"YouGov",0.46
"118",2025-05-10,"More in Common",0.48
"119",2025-05-09,"Freshwater",0.51
"120",2025-05-07,"Find Out Now",0.49
"121",2025-05-07,"Techne",0.47
"122",2025-05-06,"BMG",0.51
"123",2025-05-05,"YouGov",0.46
"124",2025-05-03,"More in Common",0.48
"125",2025-05-03,"YouGov",0.44
"126",2025-05-02,"Survation",0.48
"127",2025-04-30,"Find Out Now",0.48
"128",2025-04-30,"Survation",0.48
"129",2025-04-30,"Opinium",0.46
"130",2025-04-27,"YouGov",0.46
"131",2025-04-25,"More in Common",0.47
"132",2025-04-23,"Find Out Now",0.48
"133",2025-04-23,"Opinium",0.47
"134",2025-04-23,"Techne",0.46
"135",2025-04-21,"YouGov",0.45
"136",2025-04-17,"More in Common",0.48
"137",2025-04-16,"Find Out Now",0.48
"138",2025-04-13,"YouGov",0.44
"139",2025-04-11,"More in Common",0.47
"140",2025-04-11,"Focaldata",0.47
"141",2025-04-10,"Lord Ashcroft",0.45
"142",2025-04-09,"Opinium",0.48
"143",2025-04-09,"Find Out Now",0.47
"144",2025-04-09,"Techne",0.46
"145",2025-04-08,"Verian",0.43
"146",2025-04-06,"YouGov",0.45
"147",2025-04-04,"Freshwater",0.55
"148",2025-04-04,"More in Common",0.47
"149",2025-04-02,"Find Out Now",0.48
"150",2025-04-02,"Techne",0.47
"151",2025-03-30,"YouGov",0.44
"152",2025-03-28,"More in Common",0.51
"153",2025-03-26,"Find Out Now",0.48
"154",2025-03-26,"Opinium",0.48
"155",2025-03-26,"Techne",0.47
"156",2025-03-26,"BMG",0.47
"157",2025-03-23,"YouGov",0.44
"158",2025-03-22,"More in Common",0.49
"159",2025-03-21,"Find Out Now",0.48
"160",2025-03-19,"Find Out Now",0.48
"161",2025-03-19,"Opinium",0.47
"162",2025-03-19,"Techne",0.46
"163",2025-03-16,"YouGov",0.46
"164",2025-03-14,"More in Common",0.49
"165",2025-03-14,"More in Common",0.48
"166",2025-03-14,"Deltapoll",0.48
"167",2025-03-13,"Lord Ashcroft",0.43
"168",2025-03-12,"Find Out Now",0.48
"169",2025-03-12,"Techne",0.46
"170",2025-03-09,"YouGov",0.45
"171",2025-03-07,"More in Common",0.48
"172",2025-03-06,"JL Partners",0.47
"173",2025-03-05,"Opinium",0.47
"174",2025-03-05,"Find Out Now",0.47
"175",2025-03-05,"Techne",0.46
"176",2025-03-02,"YouGov",0.46
"177",2025-03-01,"Freshwater",0.5
"178",2025-02-28,"More in Common",0.48
"179",2025-02-26,"Find Out Now",0.49
"180",2025-02-26,"Techne",0.47
"181",2025-02-26,"Focaldata",0.43
"182",2025-02-25,"BMG",0.49
"183",2025-02-23,"YouGov",0.47
"184",2025-02-21,"More in Common",0.49
"185",2025-02-19,"Find Out Now",0.48
"186",2025-02-19,"Techne",0.48
"187",2025-02-19,"Opinium",0.47
"188",2025-02-16,"YouGov",0.48
"189",2025-02-14,"More in Common",0.49
"190",2025-02-13,"Lord Ashcroft",0.46
"191",2025-02-12,"Find Out Now",0.5
"192",2025-02-12,"Techne",0.47
"193",2025-02-09,"YouGov",0.47
"194",2025-02-07,"Stack Data Strategy",0.48
"195",2025-02-07,"More in Common",0.48
"196",2025-02-05,"Opinium",0.48
"197",2025-02-05,"Techne",0.48
"198",2025-02-05,"Find Out Now",0.47
"199",2025-02-02,"YouGov",0.46
"200",2025-01-31,"More in Common",0.5
"201",2025-01-31,"Freshwater",0.5
"202",2025-01-29,"Find Out Now",0.48
"203",2025-01-29,"Techne",0.47
"204",2025-01-28,"BMG",0.49
"205",2025-01-28,"Survation",0.46
"206",2025-01-26,"YouGov",0.45
"207",2025-01-24,"More in Common",0.49
"208",2025-01-22,"Find Out Now",0.49
"209",2025-01-22,"Opinium",0.48
"210",2025-01-22,"Techne",0.48
"211",2025-01-22,"Find Out Now",0.47
"212",2025-01-22,"Whitestone",0.44
"213",2025-01-19,"YouGov",0.46
"214",2025-01-17,"More in Common",0.5
"215",2025-01-17,"Deltapoll",0.47
"216",2025-01-16,"Lord Ashcroft",0.45
"217",2025-01-15,"Find Out Now",0.5
"218",2025-01-15,"Techne",0.48
"219",2025-01-12,"YouGov",0.47
"220",2025-01-10,"More in Common",0.49
"221",2025-01-10,"JL Partners",0.47
"222",2025-01-08,"Opinium",0.47
"223",2025-01-08,"Find Out Now",0.45
"224",2025-01-06,"More in Common",0.48
"225",2025-01-04,"Freshwater",0.52
"226",2024-12-30,"Deltapoll",0.45
"227",2024-12-19,"Deltapoll",0.46
"228",2024-12-18,"Techne",0.47
"229",2024-12-18,"Opinium",0.45
"230",2024-12-12,"Survation",0.45
"231",2024-12-11,"Find Out Now",0.48
"232",2024-12-11,"Techne",0.47
"233",2024-12-06,"Stonehaven",0.45
"234",2024-12-06,"More in Common",0.45
"235",2024-12-05,"Techne",0.46
"236",2024-12-04,"Find Out Now",0.5
"237",2024-11-30,"Focaldata",0.45
"238",2024-11-29,"More in Common",0.49
"239",2024-11-27,"Find Out Now",0.49
"240",2024-11-27,"Opinium",0.46
"241",2024-11-27,"Techne",0.45
"242",2024-11-26,"More in Common",0.48
"243",2024-11-26,"BMG",0.47
"244",2024-11-20,"Techne",0.44
"245",2024-11-19,"More in Common",0.47
"246",2024-11-14,"Deltapoll",0.45
"247",2024-11-13,"JL Partners",0.46
"248",2024-11-13,"Techne",0.44
"249",2024-11-11,"Opinium",0.45
"250",2024-11-08,"More in Common",0.48
"251",2024-11-06,"Techne",0.43
"252",2024-10-31,"More in Common",0.47
"253",2024-10-30,"BMG",0.46
"254",2024-10-30,"Opinium",0.44
"255",2024-10-30,"More in Common",0.44
"256",2024-10-30,"Techne",0.42
"257",2024-10-23,"Techne",0.43
"258",2024-10-16,"Opinium",0.44
"259",2024-10-16,"Techne",0.44
"260",2024-10-11,"JL Partners",0.44
"261",2024-10-09,"More in Common",0.48
"262",2024-10-09,"Survation",0.44
"263",2024-10-09,"Techne",0.43
"264",2024-10-07,"Stonehaven",0.43
"265",2024-10-05,"More in Common",0.47
"266",2024-10-04,"Deltapoll",0.43
"267",2024-10-02,"BMG",0.45
"268",2024-10-02,"Opinium",0.44
"269",2024-10-02,"Techne",0.41
"270",2024-10-01,"Survation",0.41
"271",2024-09-25,"Techne",0.4
"272",2024-09-24,"More in Common",0.44
"273",2024-09-18,"Verian",0.43
"274",2024-09-18,"Techne",0.39
"275",2024-09-10,"More in Common",0.43
"276",2024-08-30,"Survation",0.4
"277",2024-08-29,"BMG",0.45
"278",2024-08-29,"Survation",0.38
"279",2024-08-07,"WeThink",0.41
"280",2024-08-05,"BMG",0.42
"281",2024-08-02,"Stonehaven",0.38
"282",2024-07-30,"Stonehaven",0.37
"283",2024-07-25,"WeThink",0.39
"284",2024-07-11,"WeThink",0.36
"285",2024-07-03,"Find Out Now",0.38
"286",2024-07-03,"NCP",0.36
"287",2024-07-02,"JL Partners",0.4
"288",2024-07-02,"WeThink",0.38
"289",2024-07-02,"Savanta",0.37
"290",2024-07-02,"PeoplePolling",0.36
"291",2024-07-01,"Norstat",0.4
"292",2024-07-01,"Whitestone",0.39
"293",2024-07-01,"Opinium",0.38
"294",2024-07-01,"Survation",0.37
"295",2024-07-01,"Ipsos",0.34
"296",2024-06-30,"BMG",0.38
"297",2024-06-29,"Deltapoll",0.39
"298",2024-06-28,"JL Partners",0.4
"299",2024-06-28,"More in Common",0.39
"300",2024-06-28,"Stonehaven",0.386
"301",2024-06-28,"R+W",0.38
"302",2024-06-28,"Savanta",0.37
"303",2024-06-28,"Verian",0.37
"304",2024-06-28,"Techne",0.37
"305",2024-06-27,"Focaldata",0.394
"306",2024-06-27,"Stonehaven",0.374
"307",2024-06-27,"Deltapoll",0.37
"308",2024-06-27,"Lord Ashcroft",0.37
"309",2024-06-27,"WeThink",0.36
"310",2024-06-26,"Whitestone",0.39
"311",2024-06-26,"R+W",0.37
"312",2024-06-26,"More in Common",0.37
"313",2024-06-26,"Opinium",0.37
"314",2024-06-26,"Techne",0.36
"315",2024-06-26,"Savanta",0.35
"316",2024-06-26,"Survation",0.35
"317",2024-06-25,"YouGov",0.37
"318",2024-06-25,"PeoplePolling",0.36
"319",2024-06-24,"Norstat",0.38
"320",2024-06-24,"More in Common",0.37
"321",2024-06-24,"Deltapoll",0.37
"322",2024-06-24,"BMG",0.36
"323",2024-06-24,"More in Common",0.36
"324",2024-06-24,"YouGov",0.35
"325",2024-06-21,"More in Common",0.4
"326",2024-06-21,"JL Partners",0.4
"327",2024-06-21,"JL Partners",0.39
"328",2024-06-21,"R+W",0.37
"329",2024-06-21,"Verian",0.37
"330",2024-06-21,"Savanta",0.35
"331",2024-06-21,"Deltapoll",0.34
"332",2024-06-21,"Ipsos",0.34
"333",2024-06-21,"Survation",0.32
"334",2024-06-20,"Lord Ashcroft",0.36
"335",2024-06-20,"WeThink",0.35
"336",2024-06-19,"Whitestone",0.39
"337",2024-06-19,"R+W",0.37
"338",2024-06-19,"YouGov",0.37
"339",2024-06-19,"YouGov",0.37
"340",2024-06-19,"Techne",0.36
"341",2024-06-19,"Opinium",0.36
"342",2024-06-19,"Savanta",0.35
"343",2024-06-18,"PeoplePolling",0.39
"344",2024-06-18,"BMG",0.38
"345",2024-06-17,"Norstat",0.39
"346",2024-06-17,"More in Common",0.39
"347",2024-06-17,"YouGov",0.38
"348",2024-06-15,"Survation",0.36
"349",2024-06-15,"Survation",0.36
"350",2024-06-15,"Survation",0.35
"351",2024-06-14,"JL Partners",0.41
"352",2024-06-14,"More in Common",0.39
"353",2024-06-14,"Focaldata",0.37
"354",2024-06-14,"R+W",0.36
"355",2024-06-14,"Savanta",0.35
"356",2024-06-14,"Deltapoll",0.35
"357",2024-06-14,"Survation",0.35
"358",2024-06-14,"Verian",0.34
"359",2024-06-14,"Find Out Now",0.32
"360",2024-06-13,"Lord Ashcroft",0.36
"361",2024-06-12,"YouGov",0.37
"362",2024-06-12,"Opinium",0.37
"363",2024-06-12,"PeoplePolling",0.36
"364",2024-06-12,"Whitestone",0.36
"365",2024-06-12,"R+W",0.35
"366",2024-06-12,"Techne",0.35
"367",2024-06-12,"WeThink",0.34
"368",2024-06-12,"Savanta",0.34
"369",2024-06-11,"More in Common",0.38
"370",2024-06-11,"YouGov",0.37
"371",2024-06-11,"BMG",0.35
"372",2024-06-10,"Focaldata",0.39
"373",2024-06-10,"Norstat",0.38
"374",2024-06-10,"YouGov",0.35
"375",2024-06-07,"JL Partners",0.39
"376",2024-06-07,"Focaldata",0.39
"377",2024-06-07,"JL Partners",0.39
"378",2024-06-07,"Ipsos",0.37
"379",2024-06-07,"R+W",0.36
"380",2024-06-07,"Savanta / Electoral Calculus",0.36
"381",2024-06-07,"Savanta",0.35
"382",2024-06-07,"Verian",0.35
"383",2024-06-06,"Lord Ashcroft",0.36
"384",2024-06-06,"WeThink",0.35
"385",2024-06-06,"Deltapoll",0.33
"386",2024-06-05,"Survation",0.38
"387",2024-06-05,"Whitestone",0.38
"388",2024-06-05,"More in Common",0.38
"389",2024-06-05,"Savanta",0.37
"390",2024-06-05,"R+W",0.36
"391",2024-06-05,"More in Common",0.36
"392",2024-06-05,"Opinium",0.36
"393",2024-06-05,"Techne",0.35
"394",2024-06-05,"YouGov",0.35
"395",2024-06-05,"Survation",0.35
"396",2024-06-04,"BMG",0.39
"397",2024-06-04,"Norstat",0.36
"398",2024-06-03,"Focaldata",0.39
"399",2024-06-03,"Focaldata",0.39
"400",2024-06-03,"YouGov",0.36
"401",2024-06-03,"YouGov",0.36
"402",2024-06-01,"More in Common",0.37
"403",2024-05-31,"JL Partners",0.38
"404",2024-05-31,"Savanta",0.37
"405",2024-05-31,"Survation",0.36
"406",2024-05-31,"R+W",0.34
"407",2024-05-31,"Deltapoll",0.34
"408",2024-05-31,"Ipsos",0.32
"409",2024-05-30,"Focaldata",0.38
"410",2024-05-30,"WeThink",0.36
"411",2024-05-30,"WeThink",0.34
"412",2024-05-30,"Lord Ashcroft",0.34
"413",2024-05-30,"Verian",0.32
"414",2024-05-29,"YouGov",0.36
"415",2024-05-29,"Opinium",0.36
"416",2024-05-29,"YouGov",0.35
"417",2024-05-29,"Whitestone",0.35
"418",2024-05-29,"Techne",0.33
"419",2024-05-28,"BMG",0.38
"420",2024-05-27,"More in Common",0.37
"421",2024-05-27,"YouGov",0.32
"422",2024-05-25,"R+W",0.36
"423",2024-05-24,"JL Partners",0.4
"424",2024-05-24,"Savanta",0.35
"425",2024-05-24,"Lord Ashcroft",0.35
"426",2024-05-24,"YouGov",0.35
"427",2024-05-24,"Survation",0.33
"428",2024-05-23,"Opinium",0.37
"429",2024-05-23,"YouGov",0.36
"430",2024-05-23,"WeThink",0.34
"431",2024-05-23,"Deltapoll",0.33
"432",2024-05-22,"More in Common",0.37
"433",2024-05-22,"More in Common",0.36
"434",2024-05-22,"Survation",0.35
"435",2024-05-22,"Techne",0.33
"436",2024-05-21,"Survation",0.35
"437",2024-05-21,"YouGov",0.33
"438",2024-05-20,"Find Out Now",0.31
"439",2024-05-19,"R+W",0.35
"440",2024-05-17,"More in Common",0.38
"441",2024-05-17,"Deltapoll",0.36
"442",2024-05-17,"Savanta",0.35
"443",2024-05-16,"PeoplePolling",0.34
"444",2024-05-16,"WeThink",0.34
"445",2024-05-15,"Whitestone",0.37
"446",2024-05-15,"Opinium",0.35
"447",2024-05-15,"Techne",0.33
"448",2024-05-15,"YouGov",0.31
"449",2024-05-12,"R+W",0.36
"450",2024-05-10,"Deltapoll",0.38
"451",2024-05-10,"Savanta",0.35
"452",2024-05-09,"WeThink",0.34
"453",2024-05-09,"Survation",0.33
"454",2024-05-09,"Lord Ashcroft",0.33
"455",2024-05-08,"Techne",0.33
"456",2024-05-08,"Ipsos",0.29
"457",2024-05-07,"YouGov",0.31
"458",2024-05-05,"R+W",0.36
"459",2024-05-03,"Deltapoll",0.37
"460",2024-05-03,"Savanta",0.36
"461",2024-05-03,"British Election Study",0.33
"462",2024-05-02,"JL Partners",0.39
"463",2024-05-02,"WeThink",0.37
"464",2024-05-02,"More in Common",0.37
"465",2024-05-01,"Opinium",0.36
"466",2024-05-01,"Techne",0.35
"467",2024-05-01,"JL Partners",0.35
"468",2024-04-30,"YouGov",0.33
"469",2024-04-28,"R+W",0.36
"470",2024-04-26,"Deltapoll",0.37
"471",2024-04-26,"Savanta",0.36
"472",2024-04-26,"More in Common",0.35
"473",2024-04-25,"WeThink",0.35
"474",2024-04-24,"Techne",0.35
"475",2024-04-24,"YouGov",0.33
"476",2024-04-23,"Survation",0.37
"477",2024-04-22,"BMG",0.39
"478",2024-04-21,"R+W",0.34
"479",2024-04-19,"Deltapoll",0.39
"480",2024-04-19,"Savanta",0.37
"481",2024-04-19,"Labour Together",0.35
"482",2024-04-18,"WeThink",0.37
"483",2024-04-17,"Opinium",0.38
"484",2024-04-17,"Techne",0.35
"485",2024-04-17,"Survation",0.34
"486",2024-04-16,"YouGov",0.35
"487",2024-04-15,"More in Common",0.37
"488",2024-04-14,"R+W",0.37
"489",2024-04-12,"Deltapoll",0.37
"490",2024-04-12,"Savanta",0.34
"491",2024-04-11,"WeThink",0.35
"492",2024-04-11,"Lord Ashcroft",0.34
"493",2024-04-10,"Techne",0.35
"494",2024-04-10,"YouGov",0.34
"495",2024-04-09,"More in Common",0.37
"496",2024-04-07,"R+W",0.36
"497",2024-04-05,"More in Common",0.38
"498",2024-04-05,"Savanta",0.37
"499",2024-04-04,"WeThink",0.37
"500",2024-04-04,"JL Partners",0.37
"501",2024-04-04,"PeoplePolling",0.33
"502",2024-04-03,"Opinium",0.36
"503",2024-04-03,"Techne",0.35
"504",2024-04-03,"Ipsos",0.32
"505",2024-04-02,"BMG",0.39
"506",2024-04-02,"YouGov",0.36
"507",2024-03-31,"R+W",0.36
"508",2024-03-27,"WeThink",0.35
"509",2024-03-27,"Techne",0.35
"510",2024-03-26,"YouGov",0.37
"511",2024-03-25,"Savanta",0.36
"512",2024-03-24,"R+W",0.36
"513",2024-03-23,"More in Common",0.38
"514",2024-03-22,"Deltapoll",0.37
"515",2024-03-22,"Savanta",0.35
"516",2024-03-21,"WeThink",0.35
"517",2024-03-20,"Opinium",0.36
"518",2024-03-20,"Techne",0.35
"519",2024-03-19,"More in Common",0.36
"520",2024-03-19,"YouGov",0.34
"521",2024-03-17,"R+W",0.35
"522",2024-03-15,"Savanta",0.37
"523",2024-03-15,"Deltapoll",0.36
"524",2024-03-14,"WeThink",0.37
"525",2024-03-14,"Labour Together",0.24
"526",2024-03-13,"Techne",0.34
"527",2024-03-12,"YouGov",0.34
"528",2024-03-11,"Survation",0.34
"529",2024-03-10,"R+W",0.38
"530",2024-03-08,"Deltapoll",0.38
"531",2024-03-08,"More in Common",0.37
"532",2024-03-08,"Survation",0.35
"533",2024-03-08,"Savanta",0.34
"534",2024-03-07,"WeThink",0.37
"535",2024-03-07,"YouGov",0.36
"536",2024-03-07,"Lord Ashcroft",0.34
"537",2024-03-07,"PeoplePolling",0.31
"538",2024-03-06,"BMG",0.38
"539",2024-03-06,"Opinium",0.36
"540",2024-03-06,"Techne",0.34
"541",2024-03-06,"YouGov",0.33
"542",2024-03-03,"R+W",0.36
"543",2024-03-01,"Deltapoll",0.4
"544",2024-03-01,"Savanta",0.35
"545",2024-02-29,"WeThink",0.33
"546",2024-02-28,"YouGov",0.34
"547",2024-02-28,"Techne",0.33
"548",2024-02-25,"R+W",0.35
"549",2024-02-23,"More in Common",0.37
"550",2024-02-23,"Savanta",0.36
"551",2024-02-23,"Deltapoll",0.35
"552",2024-02-22,"WeThink",0.35
"553",2024-02-21,"Opinium",0.37
"554",2024-02-21,"Techne",0.34
"555",2024-02-21,"Ipsos",0.28
"556",2024-02-20,"YouGov",0.33
"557",2024-02-18,"R+W",0.34
"558",2024-02-16,"Savanta",0.36
"559",2024-02-16,"Deltapoll",0.35
"560",2024-02-15,"WeThink",0.34
"561",2024-02-14,"Opinium",0.36
"562",2024-02-14,"YouGov",0.35
"563",2024-02-14,"Techne",0.34
"564",2024-02-13,"Survation",0.37
"565",2024-02-11,"R+W",0.33
"566",2024-02-09,"Deltapoll",0.38
"567",2024-02-09,"Savanta",0.37
"568",2024-02-09,"YouGov",0.34
"569",2024-02-08,"WeThink",0.36
"570",2024-02-08,"Lord Ashcroft",0.36
"571",2024-02-07,"More in Common",0.39
"572",2024-02-07,"Techne",0.34
"573",2024-02-07,"YouGov",0.33
"574",2024-02-06,"Opinium",0.35
"575",2024-02-04,"R+W",0.36
"576",2024-02-03,"R+W",0.35
"577",2024-02-02,"Deltapoll",0.37
"578",2024-02-01,"WeThink",0.34
"579",2024-01-31,"Techne",0.33
"580",2024-01-30,"BMG",0.37
"581",2024-01-30,"YouGov",0.35
"582",2024-01-30,"Survation",0.35
"583",2024-01-28,"R+W",0.34
"584",2024-01-26,"Deltapoll",0.39
"585",2024-01-26,"More in Common",0.37
"586",2024-01-26,"Savanta",0.36
"587",2024-01-25,"WeThink",0.35
"588",2024-01-25,"PeoplePolling",0.32
"589",2024-01-24,"Opinium",0.37
"590",2024-01-24,"Techne",0.33
"591",2024-01-24,"Find Out Now",0.32
"592",2024-01-23,"YouGov",0.33
"593",2024-01-23,"Whitestone",0.33
"594",2024-01-21,"R+W",0.34
"595",2024-01-19,"Savanta",0.37
"596",2024-01-19,"Deltapoll",0.37
"597",2024-01-18,"WeThink",0.33
"598",2024-01-17,"Techne",0.34
"599",2024-01-17,"Ipsos",0.31
"600",2024-01-16,"YouGov",0.32
"601",2024-01-14,"R+W",0.36
"602",2024-01-12,"Deltapoll",0.36
"603",2024-01-12,"Savanta",0.34
"604",2024-01-11,"Lord Ashcroft",0.36
"605",2024-01-11,"WeThink",0.34
"606",2024-01-10,"Opinium",0.37
"607",2024-01-10,"Techne",0.34
"608",2024-01-10,"YouGov",0.32
"609",2024-01-09,"More in Common",0.36
"610",2024-01-07,"R+W",0.38
"611",2024-01-05,"Savanta",0.34
"612",2024-01-04,"WeThink",0.35
"613",2024-01-02,"YouGov",0.31
"614",2023-12-28,"WeThink",0.37
"615",2023-12-28,"PeoplePolling",0.33
"616",2023-12-22,"Deltapoll",0.39
"617",2023-12-21,"WeThink",0.36
"618",2023-12-20,"Techne",0.33
"619",2023-12-19,"YouGov",0.35
"620",2023-12-17,"R+W",0.34
"621",2023-12-15,"Savanta",0.36
"622",2023-12-15,"Survation",0.36
"623",2023-12-14,"WeThink",0.34
"624",2023-12-13,"Opinium",0.36
"625",2023-12-12,"More in Common",0.36
"626",2023-12-12,"YouGov",0.35
"627",2023-12-12,"YouGov",0.33
"628",2023-12-10,"R+W",0.36
"629",2023-12-08,"Deltapoll",0.38
"630",2023-12-08,"Savanta",0.35
"631",2023-12-07,"WeThink",0.34
"632",2023-12-06,"YouGov",0.33
"633",2023-12-06,"Techne",0.3
"634",2023-12-03,"R+W",0.36
"635",2023-12-01,"Savanta",0.35
"636",2023-12-01,"Deltapoll",0.34
"637",2023-12-01,"Ipsos",0.32
"638",2023-11-30,"More in Common",0.37
"639",2023-11-30,"WeThink",0.36
"640",2023-11-29,"YouGov",0.32
"641",2023-11-29,"Techne",0.31
"642",2023-11-28,"BMG",0.38
"643",2023-11-26,"R+W",0.35
"644",2023-11-24,"Deltapoll",0.36
"645",2023-11-24,"More in Common",0.36
"646",2023-11-24,"Savanta",0.33
"647",2023-11-23,"YouGov",0.34
"648",2023-11-23,"WeThink",0.34
"649",2023-11-23,"Techne",0.29
"650",2023-11-22,"Opinium",0.34
"651",2023-11-22,"Focaldata",0.33
"652",2023-11-19,"R+W",0.31
"653",2023-11-17,"Savanta",0.34
"654",2023-11-16,"WeThink",0.35
"655",2023-11-16,"Deltapoll",0.35
"656",2023-11-15,"Opinium",0.36
"657",2023-11-15,"More in Common",0.36
"658",2023-11-15,"Techne",0.3
"659",2023-11-14,"YouGov",0.31
"660",2023-11-14,"PeoplePolling",0.3
"661",2023-11-13,"Find Out Now",0.29
"662",2023-11-12,"R+W",0.35
"663",2023-11-10,"Savanta",0.34
"664",2023-11-10,"Deltapoll",0.33
"665",2023-11-09,"WeThink",0.32
"666",2023-11-08,"Opinium",0.35
"667",2023-11-08,"Techne",0.32
"668",2023-11-07,"YouGov",0.31
"669",2023-11-05,"R+W",0.37
"670",2023-11-03,"Savanta",0.34
"671",2023-11-03,"Deltapoll",0.32
"672",2023-11-03,"PeoplePolling",0.31
"673",2023-11-02,"WeThink",0.36
"674",2023-11-01,"Techne",0.32
"675",2023-11-01,"Ipsos",0.29
"676",2023-10-31,"More in Common",0.35
"677",2023-10-31,"Survation",0.35
"678",2023-10-31,"YouGov",0.32
"679",2023-10-31,"Find Out Now",0.31
"680",2023-10-29,"R+W",0.32
"681",2023-10-27,"Savanta",0.36
"682",2023-10-27,"Deltapoll",0.34
"683",2023-10-26,"WeThink",0.33
"684",2023-10-25,"Opinium",0.35
"685",2023-10-25,"Techne",0.32
"686",2023-10-24,"YouGov",0.32
"687",2023-10-23,"PeoplePolling",0.3
